Query	QueryFrequency	QueryTokens	user
amercare	1	['amercare']	131
american board of general dentistry	1	['american', 'board', 'of', 'general', 'dentistry']	132
american egael outfitters	1	['american', 'egael', 'outfitters']	132
american embassy nairobi	1	['american', 'embassy', 'nairobi']	132
american girl doll hair care	1	['american', 'girl', 'doll', 'hair', 'care']	133
american history figures	1	['american', 'history', 'figures']	133
best buy account	1	['best', 'buy', 'account']	133
best colleges 2009	1	['best', 'colleges', '2009']	134
best crossword puzzle	1	['best', 'crossword', 'puzzle']	134
best energy stocks	1	['best', 'energy', 'stocks']	134
best gps deals	1	['best', 'gps', 'deals']	135
best love novels	1	['best', 'love', 'novels']	135
best professional digital camera	1	['best', 'professional', 'digital', 'camera']	135
best rc truck	1	['best', 'rc', 'truck']	136
best songs of the 80s and 90s	1	['best', 'songs', 'of', 'the', '80s', 'and', '90s']	136
best video player	1	['best', 'video', 'player']	136
best walking shoes for babies	1	['best', 'walking', 'shoes', 'for', 'babies']	137
best western danville va	1	['best', 'western', 'danville', 'va']	137
bestbuty	1	['bestbuty']	137
bestusedtrucks.com	1	['bestusedtrucks.com']	138
bethany mennonite church	1	['bethany', 'mennonite', 'church']	138
bethesda north hospital	1	['bethesda', 'north', 'hospital']	138
betley	1	['betley']	139
betsey johnson coats	1	['betsey', 'johnson', 'coats']	139
betty bowers	1	['betty', 'bowers']	139
bg pop folk	1	['bg', 'pop', 'folk']	140
bgz pl	1	['bgz', 'pl']	140
bhgtv	1	['bhgtv']	140
bianca's handcuff page	1	"['bianca', ""'s"", 'handcuff', 'page']"	141
bibbero	1	['bibbero']	141
bible doctrines	1	['bible', 'doctrines']	141
bible glossary	1	['bible', 'glossary']	142
bible in a year	1	['bible', 'in', 'a', 'year']	142
bible verses for strength	1	['bible', 'verses', 'for', 'strength']	142
bibliotecas online	1	['bibliotecas', 'online']	143
bietet unter anderem	1	['bietet', 'unter', 'anderem']	143
chasecreditcardservices	1	['chasecreditcardservices']	143
chateau lemoyne new orleans	1	['chateau', 'lemoyne', 'new', 'orleans']	144
chattahoochee river park	1	['chattahoochee', 'river', 'park']	144
cheap auto insurance online	1	['cheap', 'auto', 'insurance', 'online']	144
cheap big johnson t-shirts	1	['cheap', 'big', 'johnson', 't-shirts']	145
cheap dog crates	1	['cheap', 'dog', 'crates']	145
cheap fitness clothes	1	['cheap', 'fitness', 'clothes']	145
cheapmovies	1	['cheapmovies']	146
cheat codes for gta vice city	1	['cheat', 'codes', 'for', 'gta', 'vice', 'city']	146
cheat codes for sims 2 ps2	1	['cheat', 'codes', 'for', 'sims', '2', 'ps2']	146
cheats for naruto ultimate ninja heroes	1	['cheats', 'for', 'naruto', 'ultimate', 'ninja', 'heroes']	147
checkreoderexpress	1	['checkreoderexpress']	147
csc events	1	['csc', 'events']	147
ct state website	1	['ct', 'state', 'website']	148
cuban flan recipe	1	['cuban', 'flan', 'recipe']	148
cubs sweatshirts	1	['cubs', 'sweatshirts']	148
cupoons	1	['cupoons']	149
curises.com	1	['curises.com']	149
currency exchange	1	['currency', 'exchange']	149
current white house staff	1	['current', 'white', 'house', 'staff']	150
curry college milton	1	['curry', 'college', 'milton']	150
curvy bodies	1	['curvy', 'bodies']	150
custom lowrider bikes	1	['custom', 'lowrider', 'bikes']	151
custom photo birth announcements	1	['custom', 'photo', 'birth', 'announcements']	151
custom slipcovers	1	['custom', 'slipcovers']	151
cutterbee	1	['cutterbee']	152
cvs coupon	1	['cvs', 'coupon']	152
cyberlink power dvd update	1	['cyberlink', 'power', 'dvd', 'update']	152
cynthia lummis	1	['cynthia', 'lummis']	153
fanatico restaurant	1	['fanatico', 'restaurant']	153
fansnap	1	['fansnap']	153
fantasy springs casino indio	1	['fantasy', 'springs', 'casino', 'indio']	154
fast food design	1	['fast', 'food', 'design']	154
fast now	1	['fast', 'now']	154
fat loss pills	1	['fat', 'loss', 'pills']	155
fatal motorcycle accidents pictures	1	['fatal', 'motorcycle', 'accidents', 'pictures']	155
fco airport	1	['fco', 'airport']	155
federal bullets ammunition	1	['federal', 'bullets', 'ammunition']	156
federal correction institute	1	['federal', 'correction', 'institute']	156
federal employee holidays	1	['federal', 'employee', 'holidays']	156
federal reserve history	1	['federal', 'reserve', 'history']	157
fedricks of hollwood	1	['fedricks', 'of', 'hollwood']	157
feline health questions	1	['feline', 'health', 'questions']	157
fema.com	1	['fema.com']	158
female celebrities with short hair	1	['female', 'celebrities', 'with', 'short', 'hair']	158
female porn	1	['female', 'porn']	158
gemelli	1	['gemelli']	159
gender history	1	['gender', 'history']	159
geneva construction	1	['geneva', 'construction']	159
george lopez daughter	1	['george', 'lopez', 'daughter']	160
georgia standards commission	1	['georgia', 'standards', 'commission']	160
georgia tag office license plate	1	['georgia', 'tag', 'office', 'license', 'plate']	160
germany road conditions	1	['germany', 'road', 'conditions']	161
get off	1	['get', 'off']	161
gezond eten recepten	1	['gezond', 'eten', 'recepten']	161
ghi hmo	1	['ghi', 'hmo']	162
ghost recon advanced warfighter walkthrough	1	['ghost', 'recon', 'advanced', 'warfighter', 'walkthrough']	162
ghs jobs	1	['ghs', 'jobs']	162
giants fan	1	['giants', 'fan']	163
giausd	1	['giausd']	163
gift ideas for her	1	['gift', 'ideas', 'for', 'her']	163
gilroy hotels	1	['gilroy', 'hotels']	164
giovanni prom dresses	1	['giovanni', 'prom', 'dresses']	164
girl bunkbeds	1	['girl', 'bunkbeds']	164
hershy pa	1	['hershy', 'pa']	165
hidden agenda	1	['hidden', 'agenda']	165
hidrofor	1	['hidrofor']	165
hidrometeoroloski zavod srbije	1	['hidrometeoroloski', 'zavod', 'srbije']	166
high school speeches	1	['high', 'school', 'speeches']	166
highlightkids	1	['highlightkids']	166
highlights for brunettes	1	['highlights', 'for', 'brunettes']	167
hillary duff	1	['hillary', 'duff']	167
hillsong from the inside out chords	1	['hillsong', 'from', 'the', 'inside', 'out', 'chords']	167
hilton promotional code	1	['hilton', 'promotional', 'code']	168
innovative educational media company that connects	1	['innovative', 'educational', 'media', 'company', 'that', 'connects']	168
insectors	1	['insectors']	168
inside.amcity.com	1	['inside.amcity.com']	169
install new program	1	['install', 'new', 'program']	169
instant tax services	1	['instant', 'tax', 'services']	169
intellicast com	1	['intellicast', 'com']	170
intentional communication without	1	['intentional', 'communication', 'without']	170
interactive buddy 2 game skins	1	['interactive', 'buddy', '2', 'game', 'skins']	170
interior journal	1	['interior', 'journal']	171
lalatx	1	['lalatx']	171
land for sale in indiana	1	['land', 'for', 'sale', 'in', 'indiana']	171
land line phone companies	1	['land', 'line', 'phone', 'companies']	172
land rover engines	1	['land', 'rover', 'engines']	172
langham place	1	['langham', 'place']	172
largest spider	1	['largest', 'spider']	173
larry drew basketball	1	['larry', 'drew', 'basketball']	173
larryfitzgerald	1	['larryfitzgerald']	173
leshawn merritt	1	['leshawn', 'merritt']	174
leupold scope bases and rings	1	['leupold', 'scope', 'bases', 'and', 'rings']	174
lewis county tennessee	1	['lewis', 'county', 'tennessee']	174
lewis palmer	1	['lewis', 'palmer']	175
lexapro vs effexor	1	['lexapro', 'vs', 'effexor']	175
lexibook	1	['lexibook']	175
lexmark fax solutions software	1	['lexmark', 'fax', 'solutions', 'software']	176
lexus of maplewood	1	['lexus', 'of', 'maplewood']	176
ley federal del trabajo	1	['ley', 'federal', 'del', 'trabajo']	176
lg 47lg50 review	1	['lg', '47lg50', 'review']	177
lhcu.org	1	['lhcu.org']	177
liberal vs conservative	1	['liberal', 'vs', 'conservative']	177
lyrics chasing pavements adele	1	['lyrics', 'chasing', 'pavements', 'adele']	178
lyrics for bad girl	1	['lyrics', 'for', 'bad', 'girl']	178
lyrics man in the mirror	1	['lyrics', 'man', 'in', 'the', 'mirror']	178
lyrics of learning to fall	1	['lyrics', 'of', 'learning', 'to', 'fall']	179
lyrics thank you for being a friend	1	['lyrics', 'thank', 'you', 'for', 'being', 'a', 'friend']	179
lyrics to electric feel by mgmt	1	['lyrics', 'to', 'electric', 'feel', 'by', 'mgmt']	179
machine finders	1	['machine', 'finders']	180
mactan real estate	1	['mactan', 'real', 'estate']	180
madagascar 3	1	['madagascar', '3']	180
madisonville state bank texas	1	['madisonville', 'state', 'bank', 'texas']	181
maggiore car rental	1	['maggiore', 'car', 'rental']	181
magnolia clinic in houston	1	['magnolia', 'clinic', 'in', 'houston']	181
maynard cooper & gale p c	1	['maynard', 'cooper', '&', 'gale', 'p', 'c']	182
mayo clinic cabbage soup diet recipe	1	['mayo', 'clinic', 'cabbage', 'soup', 'diet', 'recipe']	182
mbam	1	['mbam']	182
mbt fitness shoes	1	['mbt', 'fitness', 'shoes']	183
mcafee threat center	1	['mcafee', 'threat', 'center']	183
mcafeesecurity center	1	['mcafeesecurity', 'center']	183
mcdonalds diet	1	['mcdonalds', 'diet']	184
mcgregor medical san antonio	1	['mcgregor', 'medical', 'san', 'antonio']	184
mcs puerto rico san juan	1	['mcs', 'puerto', 'rico', 'san', 'juan']	184
negative predictive value	1	['negative', 'predictive', 'value']	185
neil o'donnell stats	1	"['neil', ""o'donnell"", 'stats']"	185
neil simon theatre	1	['neil', 'simon', 'theatre']	185
nemacolin resort	1	['nemacolin', 'resort']	186
neopetsx	1	['neopetsx']	186
neoseeker action replay codes	1	['neoseeker', 'action', 'replay', 'codes']	186
oscar best picture list	1	['oscar', 'best', 'picture', 'list']	187
outdoor shoes	1	['outdoor', 'shoes']	187
outdooralabama.com	1	['outdooralabama.com']	187
outlaws motorcycle clubs	1	['outlaws', 'motorcycle', 'clubs']	188
outrage	1	['outrage']	188
outrigger maui el dorado	1	['outrigger', 'maui', 'el', 'dorado']	188
ov video	1	['ov', 'video']	189
overeaters ananymous	1	['overeaters', 'ananymous']	189
pregancy questions	1	['pregancy', 'questions']	189
pregnancy preparation	1	['pregnancy', 'preparation']	190
pregnant black girls	1	['pregnant', 'black', 'girls']	190
pregnant websites	1	['pregnant', 'websites']	190
preissuchmaschine	1	['preissuchmaschine']	191
premier card	1	['premier', 'card']	191
ratatoue	1	['ratatoue']	191
rate my teachers.com	1	['rate', 'my', 'teachers.com']	192
rate your space	1	['rate', 'your', 'space']	192
ratemybeaver.com	1	['ratemybeaver.com']	192
rave motion pictures ridgmar 13 fort worth tx	1	['rave', 'motion', 'pictures', 'ridgmar', '13', 'fort', 'worth', 'tx']	193
raven symone myspace	1	['raven', 'symone', 'myspace']	193
raynauldsdisease	1	['raynauldsdisease']	193
razboi intru cuvant	1	['razboi', 'intru', 'cuvant']	194
rca 2000	1	['rca', '2000']	194
rchobbies.com	1	['rchobbies.com']	194
reading endorsement	1	['reading', 'endorsement']	195
real estate NJ	1	['real', 'estate', 'NJ']	195
sarasota herald tribune	1	['sarasota', 'herald', 'tribune']	195
saratoga springs figure skating club home page	1	['saratoga', 'springs', 'figure', 'skating', 'club', 'home', 'page']	196
sargento.com	1	['sargento.com']	196
satureday night live	1	['satureday', 'night', 'live']	196
savannh ga	1	['savannh', 'ga']	197
sayers	1	['sayers']	197
sc arts commission	1	['sc', 'arts', 'commission']	197
soups for weight loss	1	['soups', 'for', 'weight', 'loss']	198
south carolina state department of education	1	['south', 'carolina', 'state', 'department', 'of', 'education']	198
south county mental health	1	['south', 'county', 'mental', 'health']	198
south indian railway map	1	['south', 'indian', 'railway', 'map']	199
southeastern credit union	1	['southeastern', 'credit', 'union']	199
southern hills medical center	1	['southern', 'hills', 'medical', 'center']	199
super street motorcycles	1	['super', 'street', 'motorcycles']	200
superbowl sunday?	1	['superbowl', 'sunday', '?']	200
superhry cz	1	['superhry', 'cz']	200
superior motors	1	['superior', 'motors']	201
supporta Java oppure	1	['supporta', 'Java', 'oppure']	201
supreme ventures jamaica lottery results	1	['supreme', 'ventures', 'jamaica', 'lottery', 'results']	201
