Query	Tokens
fast food design	['fast', 'food', 'design']
fast now	['fast', 'now']
fat loss pills	['fat', 'loss', 'pills']
fatal motorcycle accidents pictures	['fatal', 'motorcycle', 'accidents', 'pictures']
fco airport	['fco', 'airport']
federal bullets ammunition	['federal', 'bullets', 'ammunition']
federal correction institute	['federal', 'correction', 'institute']
federal employee holidays	['federal', 'employee', 'holidays']
federal reserve history	['federal', 'reserve', 'history']
fedricks of hollwood	['fedricks', 'of', 'hollwood']
feline health questions	['feline', 'health', 'questions']
fema.com	['fema.com']
female celebrities with short hair	['female', 'celebrities', 'with', 'short', 'hair']
female porn	['female', 'porn']
gemelli	['gemelli']
gender history	['gender', 'history']
geneva construction	['geneva', 'construction']
george lopez daughter	['george', 'lopez', 'daughter']
georgia standards commission	['georgia', 'standards', 'commission']
georgia tag office license plate	['georgia', 'tag', 'office', 'license', 'plate']
germany road conditions	['germany', 'road', 'conditions']
get off	['get', 'off']
gezond eten recepten	['gezond', 'eten', 'recepten']
ghi hmo	['ghi', 'hmo']
ghost recon advanced warfighter walkthrough	['ghost', 'recon', 'advanced', 'warfighter', 'walkthrough']
ghs jobs	['ghs', 'jobs']
giants fan	['giants', 'fan']
giausd	['giausd']
gift ideas for her	['gift', 'ideas', 'for', 'her']
gilroy hotels	['gilroy', 'hotels']
giovanni prom dresses	['giovanni', 'prom', 'dresses']
girl bunkbeds	['girl', 'bunkbeds']
hershy pa	['hershy', 'pa']
hidden agenda	['hidden', 'agenda']
hidrofor	['hidrofor']
hidrometeoroloski zavod srbije	['hidrometeoroloski', 'zavod', 'srbije']
high school speeches	['high', 'school', 'speeches']
highlightkids	['highlightkids']
highlights for brunettes	['highlights', 'for', 'brunettes']
hillary duff	['hillary', 'duff']
hillsong from the inside out chords	['hillsong', 'from', 'the', 'inside', 'out', 'chords']
hilton promotional code	['hilton', 'promotional', 'code']
innovative educational media company that connects	['innovative', 'educational', 'media', 'company', 'that', 'connects']
insectors	['insectors']
inside.amcity.com	['inside.amcity.com']
install new program	['install', 'new', 'program']
instant tax services	['instant', 'tax', 'services']
intellicast com	['intellicast', 'com']
intentional communication without	['intentional', 'communication', 'without']
interactive buddy 2 game skins	['interactive', 'buddy', '2', 'game', 'skins']
interior journal	['interior', 'journal']
lalatx	['lalatx']
land for sale in indiana	['land', 'for', 'sale', 'in', 'indiana']
land line phone companies	['land', 'line', 'phone', 'companies']
land rover engines	['land', 'rover', 'engines']
langham place	['langham', 'place']
largest spider	['largest', 'spider']
larry drew basketball	['larry', 'drew', 'basketball']
larryfitzgerald	['larryfitzgerald']
leshawn merritt	['leshawn', 'merritt']
leupold scope bases and rings	['leupold', 'scope', 'bases', 'and', 'rings']
lewis county tennessee	['lewis', 'county', 'tennessee']
lewis palmer	['lewis', 'palmer']
lexapro vs effexor	['lexapro', 'vs', 'effexor']
lexibook	['lexibook']
lexmark fax solutions software	['lexmark', 'fax', 'solutions', 'software']
lexus of maplewood	['lexus', 'of', 'maplewood']
ley federal del trabajo	['ley', 'federal', 'del', 'trabajo']
lg 47lg50 review	['lg', '47lg50', 'review']
lhcu.org	['lhcu.org']
liberal vs conservative	['liberal', 'vs', 'conservative']
lyrics chasing pavements adele	['lyrics', 'chasing', 'pavements', 'adele']
lyrics for bad girl	['lyrics', 'for', 'bad', 'girl']
lyrics man in the mirror	['lyrics', 'man', 'in', 'the', 'mirror']
lyrics of learning to fall	['lyrics', 'of', 'learning', 'to', 'fall']
lyrics thank you for being a friend	['lyrics', 'thank', 'you', 'for', 'being', 'a', 'friend']
lyrics to electric feel by mgmt	['lyrics', 'to', 'electric', 'feel', 'by', 'mgmt']
machine finders	['machine', 'finders']
mactan real estate	['mactan', 'real', 'estate']
madagascar 3	['madagascar', '3']
madisonville state bank texas	['madisonville', 'state', 'bank', 'texas']
maggiore car rental	['maggiore', 'car', 'rental']
magnolia clinic in houston	['magnolia', 'clinic', 'in', 'houston']
maynard cooper & gale p c	['maynard', 'cooper', '&', 'gale', 'p', 'c']
mayo clinic cabbage soup diet recipe	['mayo', 'clinic', 'cabbage', 'soup', 'diet', 'recipe']
mbam	['mbam']
mbt fitness shoes	['mbt', 'fitness', 'shoes']
mcafee threat center	['mcafee', 'threat', 'center']
mcafeesecurity center	['mcafeesecurity', 'center']
mcdonalds diet	['mcdonalds', 'diet']
mcgregor medical san antonio	['mcgregor', 'medical', 'san', 'antonio']
mcs puerto rico san juan	['mcs', 'puerto', 'rico', 'san', 'juan']
negative predictive value	['negative', 'predictive', 'value']
neil o'donnell stats	"['neil', ""o'donnell"", 'stats']"
neil simon theatre	['neil', 'simon', 'theatre']
nemacolin resort	['nemacolin', 'resort']
neopetsx	['neopetsx']
neoseeker action replay codes	['neoseeker', 'action', 'replay', 'codes']
oscar best picture list	['oscar', 'best', 'picture', 'list']
outdoor shoes	['outdoor', 'shoes']
outdooralabama.com	['outdooralabama.com']
outlaws motorcycle clubs	['outlaws', 'motorcycle', 'clubs']
outrage	['outrage']
outrigger maui el dorado	['outrigger', 'maui', 'el', 'dorado']
ov video	['ov', 'video']
overeaters ananymous	['overeaters', 'ananymous']
pregancy questions	['pregancy', 'questions']
pregnancy preparation	['pregnancy', 'preparation']
pregnant black girls	['pregnant', 'black', 'girls']
pregnant websites	['pregnant', 'websites']
preissuchmaschine	['preissuchmaschine']
premier card	['premier', 'card']
ratatoue	['ratatoue']
rate my teachers.com	['rate', 'my', 'teachers.com']
rate your space	['rate', 'your', 'space']
ratemybeaver.com	['ratemybeaver.com']
rave motion pictures ridgmar 13 fort worth tx	['rave', 'motion', 'pictures', 'ridgmar', '13', 'fort', 'worth', 'tx']
raven symone myspace	['raven', 'symone', 'myspace']
raynauldsdisease	['raynauldsdisease']
razboi intru cuvant	['razboi', 'intru', 'cuvant']
rca 2000	['rca', '2000']
rchobbies.com	['rchobbies.com']
reading endorsement	['reading', 'endorsement']
real estate NJ	['real', 'estate', 'NJ']
sarasota herald tribune	['sarasota', 'herald', 'tribune']
saratoga springs figure skating club home page	['saratoga', 'springs', 'figure', 'skating', 'club', 'home', 'page']
sargento.com	['sargento.com']
satureday night live	['satureday', 'night', 'live']
savannh ga	['savannh', 'ga']
sayers	['sayers']
sc arts commission	['sc', 'arts', 'commission']
soups for weight loss	['soups', 'for', 'weight', 'loss']
south carolina state department of education	['south', 'carolina', 'state', 'department', 'of', 'education']
south county mental health	['south', 'county', 'mental', 'health']
south indian railway map	['south', 'indian', 'railway', 'map']
southeastern credit union	['southeastern', 'credit', 'union']
southern hills medical center	['southern', 'hills', 'medical', 'center']
super street motorcycles	['super', 'street', 'motorcycles']
superbowl sunday?	['superbowl', 'sunday', '?']
superhry cz	['superhry', 'cz']
superior motors	['superior', 'motors']
supporta Java oppure	['supporta', 'Java', 'oppure']
supreme ventures jamaica lottery results	['supreme', 'ventures', 'jamaica', 'lottery', 'results']
